,Fuel,Ea/R,intercept
0,C3_5_export.csv,23.896292658340382,-18.08260085822696
1,updatd_hexane_5_export.csv,20.85881317323657,-17.10462706111666
2,C8_5_export.csv,20.630504092834073,-17.504991557641723
3,C10_5_export.csv,20.168284984504574,-17.323581693259907
4,C11_5_export.csv,20.289669603391722,-17.454899943758285
5,C4_5_export.csv,23.418964227851934,-18.23621301302932
6,Updated_Heptane_5_export.csv,21.621371172360135,-17.637591159590666
7,C14_5_export.csv,19.899927639779957,-17.38343788905275
8,C13_5_export.csv,20.049111295868304,-17.419983822710165
9,C5_5_export.csv,21.266674052022285,-17.138956680259273
10,C15_5_export.csv,19.93453886842743,-17.454719983658723
11,detailed_heptane_5_export.csv,19.80932371356274,-16.482656975145193
12,C16_5_export.csv,19.86047666061461,-17.46447343129048
13,C12_5_export.csv,20.0046655157797,-17.34846635895173
14,C9_5_export.csv,20.544014933899454,-17.499543151869638
